fdc_id,description,Retinol (UG),Lycopene (UG),cis_Lycopene (UG),trans_Lycopene (UG),Carotene_beta (UG),cis_beta_Carotene (UG),trans_beta_Carotene (UG),Vitamin_E_alpha_tocopherol (MG),Tocopherols_and_tocotrienols (MG),Cryptoxanthin_beta (UG),Choline_total (MG),Carotene_alpha (UG),Vitamin_K_phylloquinone (UG),Zeaxanthin (UG),Lutein (UG),Lutein_plus_zeaxanthin (UG),cis_Lutein/Zeaxanthin (UG),Vitamin_D_D2_plus_D3 (UG),Vitamin_A_RAE (UG)
2706883,"Sloppy joe sandwich, on white bun",1.0,4396.0,4396.0,4396.0,69.0,69.0,69.0,0.54,0.54,0.0,33.1,1.0,3.0,14.0,14.0,14.0,14.0,0.0,7.0
2706884,"Sloppy joe sandwich, on wheat bun",1.0,4396.0,4396.0,4396.0,70.0,70.0,70.0,0.56,0.56,0.0,35.2,1.0,3.3,33.0,33.0,33.0,33.0,0.0,7.0
2706885,"Barbecue beef sandwich, on white bun",2.0,910.0,910.0,910.0,27.0,27.0,27.0,0.3,0.3,0.0,51.7,0.0,2.7,20.0,20.0,20.0,20.0,0.1,4.0
2706886,"Barbecue beef sandwich, on wheat bun",2.0,910.0,910.0,910.0,27.0,27.0,27.0,0.33,0.33,0.0,54.0,0.0,2.9,39.0,39.0,39.0,39.0,0.1,4.0
2706887,"Cheeseburger slider, from fast food",45.0,0.0,0.0,0.0,13.0,13.0,13.0,0.25,0.25,1.0,36.5,0.0,3.6,6.0,6.0,6.0,6.0,0.7,46.0
2706888,"Cheeseburger, NFS",33.0,0.0,0.0,0.0,10.0,10.0,10.0,0.19,0.19,1.0,46.2,0.0,3.2,5.0,5.0,5.0,5.0,0.6,34.0
2706889,"Cheeseburger, from fast food, 1 small patty",49.0,0.0,0.0,0.0,14.0,14.0,14.0,0.26,0.26,1.0,37.2,0.0,3.5,6.0,6.0,6.0,6.0,0.7,50.0
2706890,Cheeseburger (Burger King),31.0,494.0,494.0,494.0,33.0,33.0,33.0,0.29,0.29,3.0,35.6,0.0,4.1,27.0,27.0,27.0,27.0,0.9,34.0
2706891,Whopper Jr with cheese (Burger King),35.0,784.0,784.0,784.0,97.0,97.0,97.0,0.39,0.39,1.0,29.2,13.0,8.5,50.0,50.0,50.0,50.0,0.5,44.0
2706892,Cheeseburger (McDonalds),50.0,1003.0,1003.0,1003.0,55.0,55.0,55.0,0.09,0.09,2.0,33.4,1.0,5.5,22.0,22.0,22.0,22.0,0.1,55.0
2706893,"Cheeseburger, from school cafeteria",15.0,0.0,0.0,0.0,4.0,4.0,4.0,0.27,0.27,0.0,45.3,0.0,3.4,33.0,33.0,33.0,33.0,0.0,15.0
2706894,Cheeseburger slider,32.0,0.0,0.0,0.0,10.0,10.0,10.0,0.18,0.18,1.0,47.3,0.0,3.2,5.0,5.0,5.0,5.0,0.5,33.0
2706895,"Cheeseburger, on white bun, 1 small patty",40.0,0.0,0.0,0.0,12.0,12.0,12.0,0.21,0.21,1.0,43.9,0.0,3.3,5.0,5.0,5.0,5.0,0.6,41.0
2706896,"Cheeseburger, on wheat bun, 1 small patty",40.0,0.0,0.0,0.0,12.0,12.0,12.0,0.24,0.24,1.0,46.4,0.0,3.6,27.0,27.0,27.0,27.0,0.6,41.0
2706897,"Cheeseburger, from fast food, 1 medium patty",33.0,0.0,0.0,0.0,10.0,10.0,10.0,0.19,0.19,1.0,46.2,0.0,3.2,5.0,5.0,5.0,5.0,0.6,34.0
2706898,Quarter Pounder (McDonalds),0.0,668.0,668.0,668.0,26.0,26.0,26.0,0.06,0.06,2.0,33.3,1.0,5.0,21.0,21.0,21.0,21.0,0.1,2.0
2706899,Whopper with cheese (Burger King),44.0,208.0,208.0,208.0,64.0,64.0,64.0,0.57,0.57,2.0,36.8,0.0,14.2,41.0,41.0,41.0,41.0,0.1,50.0
2706900,Quarter Pounder with cheese (McDonalds),47.0,810.0,810.0,810.0,47.0,47.0,47.0,0.2,0.2,2.0,37.7,1.0,4.4,17.0,17.0,17.0,17.0,0.1,51.0
